"","WT_1","KD_1","WT_2","KD_2","WT_3","KD_3"
"55815",14.7431353315404,16.3749966679681,22.0843725485889,25.818406340954,22.8243705043222,23.1970651855738
"55816",0,14.035711429687,0,6.79431745814579,0,2.67658444448929
"55818",1552.12452518162,1664.79132791009,2317.28166241979,2189.12908501457,2144.73001505614,2401.78844152172
"55819",43.4103429206468,54.5833222265604,261.857560218982,51.636812681908,217.592332141205,28.5502340745524
"55823",993.523508731029,544.273698773416,567.883865535142,765.040145787216,558.43626500575,643.272461492259
"55824",560.239142598536,994.196226269493,979.599668048121,991.970348889285,1113.06846826078,1025.1318422394
"55825",330.901481885685,290.071369546864,261.857560218982,297.591104666786,286.826256004316,347.063782968778
"55827",1639.76427409688,2545.1423392499,2381.95732488351,2723.16243722483,2497.74694552299,2708.70345782316
"55829",2114.82085700207,1789.55320728509,1096.33135151923,1483.87893285904,1043.83454439767,1504.24045780298
"5583",254.728616006059,141.916637789057,340.730319321085,164.422482487128,438.98872603313,231.970651855738
"55830",1356.36845050172,1825.4222476054,1492.27260221179,1706.73254548622,1502.60439153454,1855.76521484591
"55831",4205.88888485889,2667.56493338661,2620.15305737187,3427.05372588874,2414.81839935729,2929.96777190094
"55832",4106.78225290798,6905.57002340598,6024.30134021864,6190.98206786244,6428.10354636728,7119.71462234151
"55833",1614.37331880368,1921.33294237493,1916.60804618111,1553.18097093213,2029.84735018439,1505.13265261781
"55835",239.166417600544,458.499906703107,470.081644248535,481.037676036722,429.858977831401,563.86712297241
"55837",510.276295086093,606.654638460914,607.320245086194,637.306977574075,701.468986832836,681.636838529939
"55839",2879.82576809423,3806.01708268345,1812.49600416633,2869.91969432078,1895.94437655903,2840.74829041797
"5584",1306.40560298928,1989.95197603117,1866.12948035576,1663.24891375409,2154.62057560802,2056.5090481826
"55840",61.4297305480851,80.3154598476531,34.7040140049254,80.1729460061203,18.2594964034578,77.6209488901894
"55841",1199.92740337259,1333.39258582026,1007.99386132488,881.902406067324,1110.78603121035,944.834308904719
"55843",36.857838328851,12.4761879374995,52.0560210073881,23.1006793576957,50.9744274596529,32.1190133338715
"55844",1102.45889756963,964.565279917931,1011.14877168896,1164.54601232619,816.351651704591,777.993878531553
"55845",7208.57411404929,6229.51658954273,3636.03419460695,7203.33536912617,3715.04670575351,7078.67366085934
"55846",298.138958926706,322.041601136706,345.462684867212,293.514514191898,372.037239220452,273.011613337907
"55847",1375.20690120313,1174.32118961714,826.586515390041,1697.22050104482,823.198962855887,1766.54573336293
"55848",959.122859624101,844.481971019498,719.31956301118,1074.86102187866,694.621675681539,1098.29181705544
"5585",8284.00393017776,4298.04674446858,2198.97252376663,4221.98886849179,2207.11662776796,3977.40448451108
"55850",606.106674741106,652.660581480443,329.688133046791,676.714018831321,371.276426870308,574.573460750367
"55851",3037.9049413713,2378.27332558584,1708.38396215155,2485.36132618973,1628.13842930832,2376.80698670649
"55852",1359.64470279762,2116.27337889836,1506.46969885017,1839.90116766588,1552.05719429391,1985.13346299622
"55853",1.63812614794893,7.01785571484348,23.6618277306309,2.71772698325832,8.36893585158481,3.56877925931905
"55854",2589.05837683329,2807.14228593739,3129.67108117145,2970.47559270134,3227.36598931116,3393.90907561242
"55855",64.7059828439829,128.660688105464,108.844407560902,85.608399972637,125.534037773772,126.691663705826
"55856",573.344151782127,464.738000671857,642.024259091119,554.416304584697,683.970302779522,560.298343713091
"55857",90.9160012111659,196.499960015617,110.421862742944,131.809758688028,126.294850123916,137.398001483784
"55858",2536.63834009893,2988.04701103113,2894.63025904718,3020.75354189162,2905.54236520022,3039.707734125
"55859",2221.29905661876,2418.82093638272,1593.22973386248,2436.44224049108,1619.00868110659,2491.90011781953
"5586",675.727036028936,1127.53548485152,1583.76500277023,1059.91352347074,1584.01131299996,1253.53371483582
"55860",2772.52850540357,3390.40407201549,3350.51480665734,3422.97713541385,3546.14636402153,3712.42262450664
"55861",2.4571892219234,1.55952349218744,0,6.79431745814579,0,0.892194814829763
"55862",2477.66579877276,3493.33262249986,2626.46287810003,3883.63185907613,2774.68264097544,4475.24919118609
"55863",972.227868807693,1056.57716595699,760.333397744274,1271.89622816489,844.501708659921,1316.87954668873
"55869",666.717342215216,597.297497507789,465.349278702408,618.282888691267,475.507718840046,708.402682974832
"5587",321.072724997991,430.428483843733,578.926051809437,377.764050672906,648.972934672894,393.457913339925
"55870",797.767434051131,1214.86880041402,3585.55562878161,983.817167939511,3781.23738021604,1158.96106446386
"55871",1071.3345007586,1181.33904533199,908.614184856228,1418.65348526084,1022.53179859363,1788.85060373367
"55872",1824.87252881511,3744.41590474204,2370.91513860922,2918.83878001943,2372.21290774922,3407.29199783486
"55876",110.573514986553,70.9583188945285,63.0982072816825,80.1729460061203,59.3433633112377,72.2677800012108
"55879",825.615578566263,1084.64858881636,392.786340328473,1267.81963769,388.014298573477,965.354789645804
"55884",6780.20412636064,5326.5524875662,4585.66221419627,5325.38602369467,5582.08021300707,6156.14422232536
"55888",4.09531536987234,3.8988087304686,25.239282912673,6.79431745814579,40.3230545576359,2.67658444448929
"5589",13597.2660910501,11139.6763046949,9633.51879673087,10332.7979903481,10064.0257677058,10240.612084616
"55890",526.657556565583,993.416464523399,31.5491036408412,1172.69919327596,38.8014298573477,890.410425200103
"55892",569.248836412255,789.898648792938,782.417770292863,887.33786003384,700.708174482691,868.105554829359
"55893",1412.88380260596,1630.48181108197,3484.59849713092,2689.1908499341,3348.33515298407,2472.27183189327
"55897",49.9628475124425,88.1130773085903,15.7745518204206,50.2779491902789,7.60812350144073,42.8253511118286
"55898",4585.93415118304,2190.35074477726,2470.29481507787,3418.90054493896,2366.88722129821,2527.58791041272
"5590",4.09531536987234,0,7.88727591021031,1.35886349162916,1.52162470028815,3.56877925931905
"55900",50.781910586417,104.488073976558,402.251071420726,74.7374920396037,377.36292567146,82.974117779168
"55901",66.3441089919319,122.422594136714,17.3520070024627,70.6609015647162,27.3892446051866,78.5131437050191
"55902",1415.34099182788,1532.23183107416,1066.35970306043,1258.3075932486,1046.87779379824,1160.74545409352
"55904",637.231071552136,943.511712773401,1945.00223945786,883.261269558953,2099.84208639764,964.462594830974
"55905",3826.66268160871,3466.82072313268,3159.64272963025,3541.19825918559,3490.60706246101,3615.1733896902
"55906",630.67856696034,657.339151957006,506.363113435502,547.621987126551,467.899595338605,579.034434824516
