"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"171392",64.9480229759887,4.60799592836654,0.864759538358825,5.32864423457158,9.894860147558e-08,2.23733782225339e-05
"9086",498.919728254753,4.67767043275853,0.878700366577057,5.32339647356722,1.01847427138848e-07,2.26690093686389e-05
"22839",1725.47192860005,-1.27546922672803,0.240148353176205,-5.31117207284023,1.08922424068766e-07,2.38707681670702e-05
"55790",557.847309928553,1.46832401511242,0.276713113642642,5.30630440958671,1.11870076836762e-07,2.41452915839344e-05
"5999",298.69651528549,1.78815925338341,0.337812005094162,5.2933561460759,1.20091716222411e-07,2.55329327998245e-05
"169611",1196.21326327653,1.5297991018812,0.289176701127655,5.29018795745194,1.22190724086113e-07,2.55971597736277e-05
"6387",159.624897409441,5.18198185071567,0.981295750493142,5.28075439857098,1.28653052709782e-07,2.65603295050848e-05
"9956",124.895353483259,-4.01970878406016,0.762053644687784,-5.27483703028157,1.32874113161989e-07,2.70398820284647e-05
"5764",1813.11385818907,1.24457773918505,0.236684227059763,5.25838901326868,1.45322849741881e-07,2.91566759799028e-05
"85455",206.641825323308,-2.39902369536984,0.45663163912441,-5.25373953493447,1.49041617586005e-07,2.94874700348978e-05
"23641",60.9358414284175,-4.42728022725062,0.84645159900235,-5.23039974461472,1.6914388721535e-07,3.30062284025023e-05
"22801",770.420428874131,2.24537254502027,0.430146439382791,5.22001890389262,1.78904868445894e-07,3.44391871758345e-05
"114827",1178.36988846366,-1.649390534242,0.316589336031243,-5.20987394875243,1.88968971852215e-07,3.58915067204641e-05
"55511",150.360950096709,3.80873571057539,0.732951100935484,5.19643903353744,2.03142180642021e-07,3.80757942532314e-05
"5678",32.096336421451,7.12218637068897,1.3759914173869,5.17603982168326,2.26645102349411e-07,4.1929343934641e-05
"10581",517.604916290426,1.73660139311639,0.336749233442885,5.15695722707839,2.50995109355024e-07,4.58387863174656e-05
"84856",413.274609098803,4.15070265338257,0.809757069745989,5.12586158054118,2.96180153949362e-07,5.1824719543591e-05
"84632",242.712505629632,4.07958678261188,0.796094185334809,5.12450267539155,2.98324113904841e-07,5.1824719543591e-05
"55890",608.922362177206,3.67501855417343,0.716402487985629,5.1298238292092,2.90013464991354e-07,5.1824719543591e-05
"84969",310.079983414982,-1.63842435150686,0.319617016113285,-5.12621127445274,2.9563084950045e-07,5.1824719543591e-05
"5798",2858.67073758247,-1.57299316580033,0.307230199401342,-5.11991714637887,3.05669920422095e-07,5.24610604387078e-05
"9828",298.098854264324,-1.7487909427889,0.341851001893644,-5.11565253020081,3.12658166829897e-07,5.30216141249033e-05
"90338",53.4699744113883,-5.83673140048023,1.14150418252799,-5.11319317950648,3.16758065857384e-07,5.30849252722169e-05
"8777",501.800939291653,-2.24928562096858,0.440570569520278,-5.10539236294822,3.3010884789336e-07,5.46790760260571e-05
"3791",231.472339609501,-3.42263451875611,0.671748899460662,-5.09510997562347,3.48538867925947e-07,5.65171974523148e-05
"89795",390.289630625037,-2.53198641311726,0.497108304385539,-5.09343012534659,3.5164268644561e-07,5.65171974523148e-05
"9060",1257.20206140942,-2.28504156553941,0.448694738441843,-5.09264176681577,3.53108499351072e-07,5.65171974523148e-05
"7042",894.722799541753,-1.41993554889285,0.280108751549003,-5.06922950832702,3.99429348678588e-07,6.3220789688072e-05
"23266",376.241310328189,-4.22983162390677,0.835911823557408,-5.06014092001448,4.18946731248431e-07,6.55812767761967e-05
"8492",106.169411709245,-3.32496191643948,0.657523033631677,-5.05679914827443,4.26351855527077e-07,6.60150237172089e-05
"134829",41.266057907412,-6.3549092109932,1.26307070012635,-5.03131709915959,4.87121687051166e-07,7.46134240004717e-05
"132884",194.889889892449,-1.84433989399895,0.369873768246314,-4.9864036120851,6.15135727880375e-07,9.32192387622972e-05
"728392",384.727475962589,-1.6093733300876,0.324911974414842,-4.95325951893905,7.29805367289296e-07,0.000108292473510792
"501",638.730178856026,-1.39596138568856,0.281790492411485,-4.95389810260206,7.27413090589755e-07,0.000108292473510792
"7018",25.4622539852658,7.95469324318138,1.61875139919482,4.91409196442277,8.91948775300345e-07,0.000130987735094365
"91664",158.384231731949,3.90355240399318,0.797284803048753,4.89605770618768,9.77783641319131e-07,0.000142127836434602
"945",438.444937856342,3.27918759407511,0.672146151540445,4.87868239155988,1.06796877329418e-06,0.000153668840157329
"53834",224.602981019316,-2.67944406781783,0.550095347940172,-4.87087207308876,1.11106762139605e-06,0.000158271582667867
